"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06001","Alameda County, CA","3.5","2.1","48","14","0.1","0.071","5","2","0","65","11.8",".",".","."
"06005","Amador County, CA",".",".",".",".","0.1","0.065",".",".",".",".",".",".",".","."
"06007","Butte County, CA","7.2","3.6","27","5","0.1","0.074",".",".",".","92","16","325","36","."
"06009","Calaveras County, CA",".",".",".",".","0.1","0.073",".",".",".","97","12.6","162","24","."
"06011","Colusa County, CA",".",".",".",".","0.08","0.052",".",".",".",".",".","210","36","."
"06013","Contra Costa County, CA","2.7","1.8","34","7","0.1","0.069","14","4","2","66","11.1","43","20","."
"06017","El Dorado County, CA",".",".",".",".","0.11","0.086",".",".",".",".",".","169","18","."
"06019","Fresno County, CA","4.1","2.4","54","20","0.13","0.09","5","2","0","124","20.3","320","60","."
"06021","Glenn County, CA",".",".",".",".","0.07","0.056",".",".",".",".",".","152","28","."
"06023","Humboldt County, CA","1.7","1.5","16","2","0.05","0.04","1","1","0",".",".","131","20","."
"06025","Imperial County, CA","4.6","2.7","51","10","0.11","0.08","7","2","0","24","9.8","190","53","."
"06027","Inyo County, CA","2.1","1.4",".",".","0.1","0.072","1","0","0","124","11.8","526","37","."
"06029","Kern County, CA","1.6","1.4","53","13","0.13","0.101",".",".",".","144","22.5","236","59","."
"06031","Kings County, CA",".",".","44","9","0.1","0.084",".",".",".","87","19.9","323","67","."
"06033","Lake County, CA",".",".",".",".","0.07","0.059",".",".",".","85","9.3","114","20","."
"06037","Los Angeles County, CA","3.7","2.8","86","23","0.17","0.124","3","1","0","53","15.9","169","29","0.02"
"06039","Madera County, CA",".",".","29","6","0.11","0.085",".",".",".","88","19.1","314","49","."
"06041","Marin County, CA","2","1.6","36","8","0.07","0.06",".",".",".","41","8.6","39","16","."
"06043","Mariposa County, CA",".",".",".",".","0.11","0.091",".",".",".",".",".","484","33","."
"06045","Mendocino County, CA",".",".",".",".","0.09","0.059",".",".",".","62","12.4","187","15","."
"06047","Merced County, CA",".",".","31","7","0.1","0.079",".",".",".","78","15.5","123","41","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","466","42.1","1955","73","."
"06053","Monterey County, CA","1.6","1.2","25","4","0.07","0.057",".",".",".","64","8.8","218","27","."
"06055","Napa County, CA","3.8","2.2","26","5","0.09","0.06",".",".",".","57","10.4","81","18","."
"06057","Nevada County, CA",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"06059","Orange County, CA","2.3","1.8","53","19","0.15","0.09",".",".",".","45","12.3","120","26","."
"06061","Placer County, CA",".",".",".","6","0.11","0.083",".",".",".","93","12.4","213","27","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","76","21.4",".",".","."
"06065","Riverside County, CA","1.8","1.5","54","15","0.14","0.104","2","1","0","44","15.7","298","55","."
"06067","Sacramento County, CA","2.3","2","46","11","0.1","0.078","3","1","0","123","16.1","231","32","."
"06069","San Benito County, CA",".",".",".",".","0.09","0.069",".",".",".","59","8.9","116","23","."
"06071","San Bernardino County, CA","5.3","1.4","78","29","0.16","0.125","5","3","1","43","15.2","205","41","."
"06073","San Diego County, CA","3.1","1.7","49","14","0.11","0.082","1","0","0","75","20.5","158","52","0.02"
"06075","San Francisco County, CA","1.7","1.5","41","9","0.07","0.048",".",".",".","40","10.5","58","22","."
"06077","San Joaquin County, CA","2.6","1.7","54","11","0.09","0.068",".",".",".","92","14.8","226","38","."
"06079","San Luis Obispo County, CA",".",".","26","4","0.09","0.08","2","1","0","63","9.8","280","28","."
"06081","San Mateo County, CA","1.8","1.5","38","8","0.09","0.054",".",".",".","46","9.8",".",".","."
"06083","Santa Barbara County, CA","2.4","1","28","5","0.1","0.072","3","2","0","37","9.3","103","25","."
"06085","Santa Clara County, CA","2.1","1.8","49","14","0.1","0.069","2","1","0","56","12.5","91","25","."
"06087","Santa Cruz County, CA",".",".",".",".","0.07","0.048",".",".",".","88","11",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.09","0.069",".",".",".",".",".","100","23","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.06",".",".",".","85","10.9",".",".","."
"06095","Solano County, CA","2.2","1.7","42","7","0.09","0.066","4","2","1","52","12",".",".","."
"06097","Sonoma County, CA","1.6","1.6","25","4","0.07","0.052",".",".",".","34","8.3","125","16","."
"06099","Stanislaus County, CA","2.2","1.8","41","9","0.1","0.08",".",".",".","87","15.5","216","42","."
"06101","Sutter County, CA",".",".","38","6","0.1","0.083",".",".",".",".",".","246","27","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.074",".",".",".","87","13.2","151","24","."
"06107","Tulare County, CA",".",".","48","9","0.12","0.095",".",".",".",".",".","270","60","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","34","7","0.1","0.085",".",".",".","32","7.9","162","25","."
"06113","Yolo County, CA",".",".","24","4","0.09","0.066",".",".",".",".",".",".",".","."
