"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06001","Alameda County, CA","2","1.7","40","12","0.1","0.073","3","1","0","23","8.7",".",".","."
"06005","Amador County, CA",".",".",".",".","0.09","0.071",".",".",".",".",".",".",".","."
"06007","Butte County, CA","1.7","1.3","22","5","0.09","0.074",".",".",".","51","11.1","129","26","."
"06009","Calaveras County, CA",".",".",".",".","0.09","0.072",".",".",".","31","8.4","94","19","."
"06011","Colusa County, CA",".",".",".",".","0.07","0.061",".",".",".","56","10","118","28","."
"06013","Contra Costa County, CA","1.7","1","31","6","0.09","0.074","11","4","1","22","9.1","35","19","."
"06017","El Dorado County, CA",".",".",".",".","0.1","0.08",".",".",".",".",".",".",".","."
"06019","Fresno County, CA","2.6","1.8","56","19","0.12","0.09","6","2","0","54","17.2","230","43","."
"06021","Glenn County, CA",".",".",".",".","0.08","0.064",".",".",".",".",".","145","24","."
"06023","Humboldt County, CA","0.8","0.6",".","2","0.05","0.041","1","1","0","15","6.9","58","20","."
"06025","Imperial County, CA","3.8","2.9","45","10","0.11","0.08","6","2","0","29","10.3","234","52","."
"06027","Inyo County, CA","0.9","0.8",".",".","0.09","0.075","1","0","0","77","13.4","262","28","."
"06029","Kern County, CA","1.9","1.1","50","23","0.11","0.094",".",".",".","57","20","242","49","."
"06031","Kings County, CA",".",".","41","8","0.1","0.076",".",".",".","56","15.6","265","58","."
"06033","Lake County, CA",".",".",".",".","0.06","0.054",".",".",".","34","6.3","49","16","."
"06037","Los Angeles County, CA","4.3","3.4","76","25","0.12","0.097","4","1","0","49","13.8","113","33","0.06"
"06039","Madera County, CA",".",".","26","6","0.1","0.085",".",".",".","47","12.4","198","42","."
"06041","Marin County, CA","1.2","0.8","33","6","0.08","0.06",".",".",".","18","7","27","14","."
"06043","Mariposa County, CA",".",".",".",".","0.09","0.081",".",".",".",".",".","79","17","."
"06045","Mendocino County, CA",".",".",".",".","0.07","0.061",".",".",".","32","9","44","13","."
"06047","Merced County, CA",".",".","33","7","0.1","0.079",".",".",".","41","11.3",".",".","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","43","8.4","1230","28","."
"06053","Monterey County, CA","7.3","1.2","23","3","0.08","0.061",".",".",".","14","6.8","70","24","."
"06055","Napa County, CA","1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"06057","Nevada County, CA",".",".",".",".","0.1","0.09",".",".",".","65","8.7",".",".","."
"06059","Orange County, CA","2.3","1.7","56","19","0.1","0.078",".",".",".","37","11.5","103","23","."
"06061","Placer County, CA",".",".","34","6","0.1","0.085",".",".",".","57","11.3","137","20","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","70","16.4",".",".","."
"06065","Riverside County, CA","2","1.5","52","14","0.14","0.102","2","1","1","43","15.7","345","56","0.01"
"06067","Sacramento County, CA","2.1","1.1","41","7","0.11","0.085",".",".","0","39","10.9","124","24","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.068",".",".",".","13","5.6","76","19","."
"06071","San Bernardino County, CA","1.9","1.4","73","30","0.14","0.112","6","2","1","49","17.8","119","40","0.01"
"06073","San Diego County, CA","2.2","1.3","54","13","0.1","0.078","1","0","0","24","11.2","119","42","0.02"
"06075","San Francisco County, CA","1.1","0.9","38","8","0.07","0.051",".",".",".","19","7.2","26","15","."
"06077","San Joaquin County, CA","2.1","1.4","27","10","0.09","0.069",".",".",".","37","11.7","162","33","."
"06079","San Luis Obispo County, CA",".",".","22","4","0.08","0.072","2","1","1","21","8","115","26","."
"06081","San Mateo County, CA","1.5","0.9","35","8","0.08","0.059",".",".",".","17","6.1",".",".","."
"06083","Santa Barbara County, CA","3.5","0.8","20","3","0.08","0.062","4","1","1","18","6.7","48","20","."
"06085","Santa Clara County, CA","1.8","1.4","39","12","0.1","0.074","2","1","0","26","10.9","41","19","."
"06087","Santa Cruz County, CA",".",".",".",".","0.06","0.052",".",".",".","15","5.7",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.09","0.075",".",".",".",".",".","100","21","."
"06093","Siskiyou County, CA",".",".",".",".","0.08","0.067",".",".",".","106","14.6",".",".","."
"06095","Solano County, CA","2","1.6",".","6","0.09","0.069","4","2","1","24","8.8","47","14","."
"06097","Sonoma County, CA","0.9","0.7","20","3","0.06","0.055",".",".",".",".",".","53","15","."
"06099","Stanislaus County, CA","1.7","1.3","34","7","0.1","0.083",".",".",".","43","15","129","36","."
"06101","Sutter County, CA",".",".","34","5","0.09","0.077",".",".",".","45","14.5","107","20","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.077",".",".",".","71","10.7",".",".","."
"06107","Tulare County, CA",".",".","39","8","0.11","0.094",".",".",".","69","20.7","198","52","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.068",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","32","7","0.09","0.072",".",".",".","20","8.7","127","25","."
"06113","Yolo County, CA",".",".","21","4","0.08","0.07",".",".",".",".",".","59","20","."
