"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06001","Alameda County, CA","1.9","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"06005","Amador County, CA",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"06007","Butte County, CA","2.8","1.4","25","4","0.08","0.067",".",".",".","25","6.8","76","20","."
"06009","Calaveras County, CA",".",".",".",".","0.09","0.072",".",".",".","13","5.5","30","13","."
"06011","Colusa County, CA",".",".",".",".",".",".",".",".",".","19","10.7","68","21","."
"06013","Contra Costa County, CA","1.2","0.7",".",".",".",".",".",".",".","21","9.7",".",".","."
"06017","El Dorado County, CA",".",".",".",".","0.09","0.072",".",".",".",".",".","30","14","."
"06019","Fresno County, CA","1.7","1.5","46","16","0.11","0.088","6","2","1","43","13.5","154","44","."
"06021","Glenn County, CA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"06023","Humboldt County, CA",".",".","13","1","0.05","0.047","1","1","0","20","6.6","54","17","."
"06025","Imperial County, CA",".",".","58","11","0.13","0.081","5","2","0","52","13.6","293","53","."
"06027","Inyo County, CA","0.3","0.2",".",".","0.08","0.072",".",".",".","28","9.6","865","25","."
"06029","Kern County, CA","1.6","0.9","43","15","0.11","0.088",".",".",".","64","15.6","124","49","."
"06031","Kings County, CA",".",".","35","7","0.1","0.083",".",".",".","37","11.8","175","47","."
"06033","Lake County, CA",".",".",".",".","0.08","0.05",".",".",".","7","3.2","19","10","."
"06037","Los Angeles County, CA","3.5","2.6","63","21","0.14","0.107","8","1","0","42","13.5","134","32","0.02"
"06039","Madera County, CA",".",".","20","5","0.09","0.077",".",".",".","31","9","121","35","."
"06041","Marin County, CA","0.9","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"06043","Mariposa County, CA",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"06045","Mendocino County, CA",".",".",".",".",".",".",".",".",".","18","7","42","13","."
"06047","Merced County, CA",".",".",".",".","0.1","0.081",".",".",".","27","7.8","105","31","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","14","5.4","64","18","."
"06053","Monterey County, CA","1","0.6","20","3","0.07","0.057",".",".",".","16","6.2","72","22","."
"06057","Nevada County, CA",".",".",".",".",".",".",".",".",".","11","4.1",".",".","."
"06059","Orange County, CA","3.3","2.4","51","20","0.12","0.08",".",".",".","29","11","54","26","."
"06061","Placer County, CA",".",".","31","5","0.09","0.079",".",".",".","19","6.9","39","15","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","35","11.3",".",".","."
"06065","Riverside County, CA","2.8","1.4","51","13","0.14","0.107","1","1","0","54","14.9","311","47","0.01"
"06067","Sacramento County, CA","1.4","1.2","39","8","0.09","0.08",".",".",".","27","8.6","48","19","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.063",".",".",".","14","7.2","33","13","."
"06071","San Bernardino County, CA","3.7","2.2","70","26","0.15","0.117","2","1","0","67","15.1","97","35","0.01"
"06073","San Diego County, CA","3.2","2.2","60","13","0.1","0.084",".",".",".","33","13.8","151","44","0.02"
"06075","San Francisco County, CA","1.1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"06077","San Joaquin County, CA","1","0.7","23","4","0.1","0.068",".",".",".","33","10.1","82","25","."
"06079","San Luis Obispo County, CA",".",".","24","3","0.08","0.074","1","0","0","16","5.6","96","20","."
"06081","San Mateo County, CA","1.9","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"06083","Santa Barbara County, CA","1.2","0.8","6","2","0.07","0.065","3","2","1","16","7.3","70","21","."
"06085","Santa Clara County, CA","1.4","1.3",".",".",".",".",".",".",".","28","9.2",".",".","0.02"
"06087","Santa Cruz County, CA",".",".",".",".","0.06","0.05",".",".",".","16","6.2",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.08","0.065",".",".",".","24","6","30","10","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.066",".",".",".","20","5.5",".",".","."
"06095","Solano County, CA","4.9","4.9",".",".","0.07","0.058",".",".",".",".",".","25","11","."
"06097","Sonoma County, CA","1","0.7",".",".",".",".",".",".",".",".",".","26","9","."
"06099","Stanislaus County, CA","1.6","1.2","34","7","0.1","0.084",".",".",".","34","9.3","106","28","."
"06101","Sutter County, CA",".",".","30","5","0.08","0.069",".",".",".","24","8.1","56","19","."
"06103","Tehama County, CA",".",".",".",".","0.08","0.068",".",".",".","18","5.9","55","17","."
"06107","Tulare County, CA",".",".",".","7","0.11","0.094",".",".",".","40","13","127","40","."
"06109","Tuolumne County, CA",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","30","7","0.09","0.076",".",".",".","14","7.3","89","20","."
"06113","Yolo County, CA",".",".","17","3","0.07","0.064",".",".",".","24","7.8","51","16","."
